RHO  1.8050430830E+00  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
NL1  3.1890000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL2  3.0260000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL3  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL4  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
DIL  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
VOF  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
ZPT  3.0394143764E-06  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
EP1  6.6675210010E+01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
PE1  8.5689535430E-01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
BB1  6.0140917217E-01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
RD1  8.7096529482E-03  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
EC1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
ES1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
KR1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
TE1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
EL1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
AL1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
