RHO  7.5924379412E-01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
NL1  3.3790000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL2  2.9440000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL3  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
NL4  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
DIL  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
VOF  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
ZPT  2.2182598684E-05  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
EP1  8.0418967749E+01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
PE1  2.4334492078E+01  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
BB1  6.9891433176E-02  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
RD1  1.6465962200E-02  0.0000000000E+00 -1.0000000000E+00  0.0000000000E+00
EC1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
ES1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
KR1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
TE1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
EL1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
AL1  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
